id,paper_id,author_id
159,1,1
160,1,2
34,2,3
12,3,252
13,3,7094
123,4,4
124,4,5
95,5,6
161,6,7
162,6,8
70,7,9
71,7,10
72,7,11
48,8,12
6,9,13
141,10,14
98,11,15
99,11,16
100,11,17
101,11,18
163,12,19
55,13,20
56,14,21
57,14,22
58,14,23
52,15,24
40,16,18
41,16,25
125,17,7100
126,17,27
112,18,28
113,18,29
114,18,30
115,18,31
94,19,32
7,20,33
8,20,34
9,20,35
137,21,14
138,21,7085
139,21,7086
140,21,1160
36,22,36
37,22,37
147,23,38
148,23,39
18,24,40
19,24,13
80,25,41
81,25,42
82,25,43
83,25,44
73,26,45
74,26,46
116,27,47
117,27,48
118,27,49
51,28,50
102,29,51
103,29,52
164,30,53
165,30,54
35,31,55
169,32,56
170,32,57
129,33,486
130,33,487
131,33,56
23,34,40
24,34,58
166,35,59
109,36,60
110,36,61
111,36,62
145,37,63
146,37,64
87,38,65
88,38,66
79,39,67
20,40,40
21,40,68
22,40,69
167,41,70
168,41,71
127,42,72
128,42,7102
60,44,7081
61,44,7082
62,44,7083
63,44,7084
75,45,74
76,45,75
77,45,76
84,46,77
49,47,78
50,47,79
32,48,357
33,48,7078
97,49,80
134,50,81
135,50,82
136,50,83
96,51,7087
142,52,7095
143,52,7096
64,53,7097
176,54,84
177,54,85
30,55,86
31,55,87
144,56,88
149,58,89
85,59,90
86,59,91
53,60,92
78,61,7080
54,62,93
1,63,94
120,64,95
121,64,96
65,65,97
66,65,98
10,66,99
11,66,100
122,67,101
69,68,102
150,69,103
151,69,104
152,69,105
26,70,106
27,70,107
14,71,108
15,71,109
42,72,110
43,72,111
38,73,322
39,73,7079
156,74,112
157,74,113
158,74,114
59,75,115
153,76,116
154,76,117
155,76,118
104,77,35
105,77,33
106,77,119
107,77,120
67,78,121
68,78,122
173,79,123
2,80,124
3,80,125
4,80,126
5,80,127
171,81,128
172,81,129
17,82,130
16,83,131
29,84,132
174,85,25
175,85,18
89,86,7088
90,86,7093
91,86,7090
92,86,7091
93,86,7092
44,87,133
45,87,134
46,87,135
47,87,136
28,88,98
25,89,137
119,90,138
132,91,139
133,91,140
108,92,308
307,93,141
308,93,142
222,94,143
223,94,7107
224,94,145
257,95,7112
251,97,147
252,97,148
253,97,149
254,97,150
324,98,7116
361,99,152
362,99,153
363,99,154
